left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,valid,led_x,led_y
-80.66666666666667,-11.666666666666666,85.66666666666667,-8.0, valid,64,1020
-84.33333333333333,-9.666666666666666,83.33333333333333,-5.666666666666667, valid,77,1020
-88.33333333333333,-7.333333333333333,80.66666666666667,-3.0, valid,93,1020
-88.0,-7.0,80.33333333333333,-3.0, valid,109,1020
-87.0,-7.0,80.0,-2.6666666666666665, valid,124,1020
-87.0,-7.0,80.0,-2.3333333333333335, valid,137,1020
-87.0,-7.333333333333333,80.33333333333333,-2.3333333333333335, valid,154,1020
-88.0,-7.666666666666667,80.33333333333333,-2.3333333333333335, valid,165,1020
-88.0,-7.666666666666667,81.0,-2.0, valid,183,1020
-88.66666666666667,-7.666666666666667,81.0,-2.0, valid,200,1020
-87.33333333333333,-7.666666666666667,81.66666666666667,-2.3333333333333335, valid,215,1020
-86.33333333333333,-7.666666666666667,81.33333333333333,-2.6666666666666665, valid,227,1020
-85.66666666666667,-7.666666666666667,81.66666666666667,-2.3333333333333335, valid,247,1020
-86.33333333333333,-7.666666666666667,82.33333333333333,-2.0, valid,261,1020
-87.33333333333333,-8.0,82.66666666666667,-2.3333333333333335, valid,279,1020
-87.0,-8.333333333333334,83.0,-2.6666666666666665, valid,295,1020
-87.33333333333333,-8.666666666666666,82.66666666666667,-3.0, valid,309,1020
-86.66666666666667,-8.666666666666666,83.0,-2.6666666666666665, valid,323,1020
-85.0,-8.333333333333334,83.33333333333333,-2.6666666666666665, valid,338,1020
-83.66666666666667,-8.0,83.33333333333333,-2.6666666666666665, valid,352,1020
-84.0,-8.0,83.33333333333333,-3.0, valid,365,1020
-85.0,-8.333333333333334,83.66666666666667,-3.3333333333333335, valid,385,1020
-84.66666666666667,-8.333333333333334,84.33333333333333,-3.3333333333333335, valid,406,1020
-84.33333333333333,-9.0,84.66666666666667,-3.6666666666666665, valid,422,1020
-83.66666666666667,-9.0,84.0,-3.6666666666666665, valid,434,1020
-83.0,-9.333333333333334,84.33333333333333,-4.0, valid,448,1020
-81.66666666666667,-9.0,84.33333333333333,-4.0, valid,464,1020
-83.0,-9.0,84.33333333333333,-4.0, valid,479,1020
-83.66666666666667,-9.0,83.66666666666667,-4.0, valid,495,1020
-83.33333333333333,-9.0,83.66666666666667,-4.0, valid,515,1020
-81.66666666666667,-9.0,84.0,-4.0, valid,524,1020
-81.33333333333333,-9.0,84.33333333333333,-4.333333333333333, valid,545,1020
-81.33333333333333,-8.666666666666666,84.66666666666667,-4.333333333333333, valid,559,1020
-81.0,-8.666666666666666,85.0,-4.666666666666667, valid,578,1020
-82.0,-8.666666666666666,85.33333333333333,-4.0, valid,594,1020
-81.66666666666667,-8.666666666666666,85.66666666666667,-4.0, valid,609,1020
-81.33333333333333,-8.333333333333334,86.0,-3.6666666666666665, valid,626,1020
-80.66666666666667,-8.333333333333334,85.66666666666667,-4.333333333333333, valid,640,1020
-81.33333333333333,-8.666666666666666,85.33333333333333,-4.666666666666667, valid,652,1020
-81.33333333333333,-9.0,85.33333333333333,-5.0, valid,666,1020
-80.66666666666667,-8.666666666666666,85.66666666666667,-4.666666666666667, valid,679,1020
