left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,valid
-83.0,-4.0,77.0,2.0, valid
-83.0,-3.0,77.0,2.0, valid
-84.0,-3.0,76.66666666666667,1.6666666666666667, valid
-84.0,-2.3333333333333335,76.66666666666667,1.6666666666666667, valid
-84.66666666666667,-2.3333333333333335,77.0,2.0, valid
-83.33333333333333,-2.0,77.66666666666667,2.3333333333333335, valid
-82.66666666666667,-2.0,78.0,2.3333333333333335, valid
-81.33333333333333,-2.0,78.33333333333333,2.0, valid
-80.66666666666667,-2.3333333333333335,79.0,1.3333333333333333, valid
-80.33333333333333,-2.3333333333333335,79.66666666666667,1.3333333333333333, valid
-80.33333333333333,-2.6666666666666665,79.33333333333333,1.3333333333333333, valid
-80.66666666666667,-2.3333333333333335,79.0,2.0, valid
-81.0,-2.6666666666666665,78.66666666666667,1.6666666666666667, valid
-80.66666666666667,-2.0,79.0,2.0, valid
-80.33333333333333,-2.0,79.0,2.0, valid
-80.33333333333333,-1.6666666666666667,79.0,2.3333333333333335, valid
-80.0,-1.6666666666666667,79.33333333333333,2.0, valid
-80.0,-2.0,79.66666666666667,1.3333333333333333, valid
-79.33333333333333,-1.6666666666666667,80.0,1.3333333333333333, valid
-79.66666666666667,-2.3333333333333335,80.0,1.0, valid
-79.0,-2.0,80.66666666666667,1.3333333333333333, valid
-78.66666666666667,-2.3333333333333335,81.0,1.0, valid
-78.0,-2.0,81.66666666666667,1.0, valid
-78.0,-2.0,82.0,1.0, valid
-78.33333333333333,-2.0,82.33333333333333,1.0, valid
-79.0,-2.0,81.66666666666667,1.0, valid
-78.66666666666667,-2.3333333333333335,81.66666666666667,0.6666666666666666, valid
-78.0,-2.6666666666666665,82.0,0.3333333333333333, valid
-77.33333333333333,-3.0,82.66666666666667,0.0, valid
-77.66666666666667,-2.6666666666666665,82.33333333333333,0.3333333333333333, valid
-77.66666666666667,-2.6666666666666665,82.33333333333333,0.3333333333333333, valid
-77.33333333333333,-2.6666666666666665,82.66666666666667,0.3333333333333333, valid
-76.66666666666667,-2.6666666666666665,83.33333333333333,0.3333333333333333, valid
-76.66666666666667,-2.6666666666666665,83.33333333333333,0.3333333333333333, valid
-76.66666666666667,-2.3333333333333335,83.33333333333333,0.6666666666666666, valid
-77.0,-2.0,83.0,1.0, valid
